Time,/dev/ttyUSB0
2022-11-25 08:24:43.961202,Raw: 1023 | Friendly: 0%
2022-11-25 08:49:25.367558,Raw: 1023 | Friendly: 0%
2022-11-25 08:49:35.089271,Raw: 1023 | Friendly: 0%
2022-11-25 08:50:05.895454,Raw: 1023 | Friendly: 0%
2022-11-25 08:51:04.888444,Raw: 1023 | Friendly: 0%
2022-11-25 08:51:59.757292,Raw: 1023 | Friendly: 0%
2022-11-25 08:53:19.790616,Raw: 1023 | Friendly: 0%
2022-11-25 09:56:32.182084
2022-11-25 09:57:30.064031
2022-11-25 09:57:43.117250
2022-11-25 09:58:21.746057
2022-11-25 09:58:43.919164
2022-11-25 09:59:57.330041
2022-11-25 10:00:54.069798
2022-11-25 10:03:32.217490
2022-11-25 10:04:18.310919
2022-11-25 10:05:01.315235
2022-11-25 10:05:13.987530
2022-11-25 10:05:21.871062
2022-11-25 10:05:53.673325
2022-11-25 10:06:10.840802,Raw: 1023 | Friendly: 0%
2022-11-25 10:08:02.027567,Raw: 1023 | Friendly: 0%
