Time,/dev/ttyUSB0
2022-11-25 11:54:28.281764,Raw: 1023 | Friendly: 0%
2022-11-25 11:54:34.304170,Raw: 1023 | Friendly: 0%
2022-11-25 12:02:51.333445,Raw: 1023 | Friendly: 0%
2022-11-25 12:09:05.164049,Raw: 1023 | Friendly: 0%
2022-11-25 12:10:03.818756,Raw: 1023 | Friendly: 0%
