Time,Sensor1,Sensor2,Sensor3
2024-01-17 11:36:28.968029,"['0°', '23.3%']","['0°', '23.2%']","['0°', '23.2%']"
2024-01-17 11:37:02.305494,"['0°', '23.3%']","['0°', '23.2%']","['0°', '23.2%']"
2024-01-17 11:38:01.818152,"['0°', '23.2%']","['0°', '23.2%']","['0°', '23.2%']"
2024-01-17 11:39:02.374785,"['0°', '23.2%']","['0°', '23.2%']","['0°', '23.2%']"
2024-01-17 11:40:01.925919,"['0°', '23.2%']","['0°', '23.2%']","['0°', '23.2%']"
2024-01-17 11:41:02.476508,"['0°', '23.3%']","['0°', '23.2%']","['0°', '23.2%']"
2024-01-17 11:41:49.322334,"['0°', '23.3%']","['0°', '23.2%']","['0°', '23.2%']"
